,Date,Open,High,Low,Close,Adj.Close,Volume,mean_5_before,percent_before,mean_5_after,percent_after
104,7/14/2020,0.003169,0.003369,0.003061,0.003294,0.003294,103213409,-5.53E-05,-6.287339972,4.48E-05,5.434122647
105,7/15/2020,0.003287,0.003303,0.003074,0.003085,0.003085,69399827,-0.0001815,-19.05011808,7.43E-05,9.627228525
106,7/16/2020,0.003086,0.003098,0.002893,0.002995,0.002995,78457844,-0.00015875,-17.49311295,6.10E-05,8.146911519
107,7/17/2020,0.002991,0.003084,0.002937,0.003061,0.003061,74705371,-2.93E-05,-3.68156073,6.10E-05,7.971251225
108,7/18/2020,0.00306,0.003629,0.003031,0.003473,0.003473,204080851,4.48E-05,5.434122647,-4.70E-05,-5.413187446
109,7/19/2020,0.003464,0.003753,0.003329,0.003382,0.003382,116746163,7.43E-05,9.627228525,-2.18E-05,-2.572442342
110,7/20/2020,0.003383,0.003433,0.003167,0.003239,0.003239,81038624,6.10E-05,8.146911519,-4.75E-06,-0.586600803
111,7/21/2020,0.003232,0.003309,0.003187,0.003305,0.003305,77748189,6.10E-05,7.971251225,-1.78E-05,-2.148260212
112,7/22/2020,0.003302,0.003304,0.003221,0.003285,0.003285,54443238,-4.70E-05,-5.413187446,-1.25E-05,-1.522070015
113,7/23/2020,0.003283,0.003321,0.003265,0.003295,0.003295,58737115,-2.18E-05,-2.572442342,-3.55E-05,-4.309559939
114,7/24/2020,0.003295,0.003323,0.003177,0.00322,0.00322,58910215,-4.75E-06,-0.586600803,-5.75E-06,-0.714285714
115,7/25/2020,0.003219,0.003295,0.003189,0.003234,0.003234,63203396,-1.78E-05,-2.148260212,-1.05E-05,-1.298701299
116,7/26/2020,0.003238,0.00327,0.003184,0.003235,0.003235,62592233,-1.25E-05,-1.522070015,-1.00E-06,-0.123647604
117,7/27/2020,0.003234,0.003243,0.00304,0.003153,0.003153,83138808,-3.55E-05,-4.309559939,1.80E-05,2.283539486
118,7/28/2020,0.003155,0.003219,0.003132,0.003197,0.003197,63084930,-5.75E-06,-0.714285714,0.000123,15.38942759
119,7/29/2020,0.003198,0.003262,0.003175,0.003192,0.003192,55817191,-1.05E-05,-1.298701299,3.60E-05,4.511278195
120,7/30/2020,0.003192,0.003244,0.003163,0.003231,0.003231,53506822,-1.00E-06,-0.123647604,3.95E-05,4.890126896
121,7/31/2020,0.003229,0.00324,0.003181,0.003225,0.003225,54497306,1.80E-05,2.283539486,7.75E-05,9.612403101
122,8/1/2020,0.003225,0.003797,0.003203,0.003689,0.003689,150687884,0.000123,15.38942759,-4.40E-05,-4.770940634
123,8/2/2020,0.003696,0.003736,0.003266,0.003336,0.003336,101249531,3.60E-05,4.511278195,5.60E-05,6.714628297
124,8/3/2020,0.003336,0.003441,0.003308,0.003389,0.003389,66931510,3.95E-05,4.890126896,3.60E-05,4.249041015
125,8/4/2020,0.003389,0.003561,0.003376,0.003535,0.003535,74386428,7.75E-05,9.612403101,-6.25E-06,-0.707213579
126,8/5/2020,0.003543,0.003577,0.003485,0.003513,0.003513,66465690,-4.40E-05,-4.770940634,-1.25E-05,-1.423284942
127,8/6/2020,0.003517,0.003636,0.003461,0.00356,0.00356,62944678,5.60E-05,6.714628297,-1.53E-05,-1.713483146
128,8/7/2020,0.003563,0.003611,0.003425,0.003533,0.003533,68990009,3.60E-05,4.249041015,-3.48E-05,-3.934333428
129,8/8/2020,0.003534,0.003536,0.003453,0.00351,0.00351,62509900,-6.25E-06,-0.707213579,-6.50E-06,-0.740740741
130,8/9/2020,0.003508,0.003533,0.00343,0.003463,0.003463,57020040,-1.25E-05,-1.423284942,1.35E-05,1.559341611
131,8/10/2020,0.003468,0.003557,0.003454,0.003499,0.003499,68038181,-1.53E-05,-1.713483146,1.55E-05,1.771934839
132,8/11/2020,0.003495,0.003571,0.003346,0.003394,0.003394,78539442,-3.48E-05,-3.934333428,3.63E-05,4.272245138
133,8/12/2020,0.003397,0.003534,0.003341,0.003484,0.003484,70865885,-6.50E-06,-0.740740741,1.00E-05,1.148105626
134,8/13/2020,0.003483,0.003549,0.003365,0.003517,0.003517,73302994,1.35E-05,1.559341611,1.85E-05,2.104065965
135,8/14/2020,0.003514,0.003579,0.003476,0.003561,0.003561,61334640,1.55E-05,1.771934839,-1.17E-05,-1.319853974
136,8/15/2020,0.003563,0.003607,0.0035,0.003539,0.003539,64309678,3.63E-05,4.272245138,-2.88E-05,-3.24950551
137,8/16/2020,0.00354,0.003552,0.003469,0.003524,0.003524,52637926,1.00E-05,1.148105626,-1.63E-05,-1.844494892
138,8/17/2020,0.003524,0.003718,0.0035,0.003591,0.003591,77628715,1.85E-05,2.104065965,-4.95E-05,-5.513784461
139,8/18/2020,0.003593,0.003709,0.003483,0.003514,0.003514,62570291,-1.17E-05,-1.319853974,-1.80E-05,-2.048947069
140,8/19/2020,0.003508,0.003538,0.003368,0.003424,0.003424,53306857,-2.88E-05,-3.24950551,-2.50E-06,-0.292056075
141,8/20/2020,0.003424,0.003499,0.00339,0.003459,0.003459,43536656,-1.63E-05,-1.844494892,-1.03E-05,-1.185313674
142,8/21/2020,0.003457,0.003554,0.003389,0.003393,0.003393,60621268,-4.95E-05,-5.513784461,-2.20E-05,-2.593575007
143,8/22/2020,0.003392,0.003447,0.003354,0.003442,0.003442,44884852,-1.80E-05,-2.048947069,-3.48E-05,-4.038349797
144,8/23/2020,0.003438,0.003453,0.003388,0.003414,0.003414,39485548,-2.50E-06,-0.292056075,-5.28E-05,-6.180433509
145,8/24/2020,0.00341,0.003465,0.003386,0.003418,0.003418,46470522,-1.03E-05,-1.185313674,-3.75E-05,-4.388531305
146,8/25/2020,0.003418,0.003434,0.003239,0.003305,0.003305,76826314,-2.20E-05,-2.593575007,-5.75E-06,-0.69591528
147,8/26/2020,0.003301,0.003345,0.003251,0.003303,0.003303,80416711,-3.48E-05,-4.038349797,-7.50E-07,-0.090826521
148,8/27/2020,0.0033,0.003314,0.003165,0.003203,0.003203,89847093,-5.28E-05,-6.180433509,4.50E-06,0.56197315
149,8/28/2020,0.003203,0.003271,0.003182,0.003268,0.003268,64056957,-3.75E-05,-4.388531305,-3.00E-06,-0.367197062
150,8/29/2020,0.003267,0.003301,0.003242,0.003282,0.003282,78149363,-5.75E-06,-0.69591528,-4.00E-05,-4.875076173
151,8/30/2020,0.003284,0.003344,0.003274,0.0033,0.0033,79325829,-7.50E-07,-0.090826521,-0.0001245,-15.09090909
152,8/31/2020,0.003301,0.003308,0.003204,0.003221,0.003221,85369757,4.50E-06,0.56197315,-8.05E-05,-9.996895374
153,9/1/2020,0.00322,0.003281,0.003194,0.003256,0.003256,81863764,-3.00E-06,-0.367197062,-0.0001245,-15.29484029
154,9/2/2020,0.003258,0.003266,0.003065,0.003122,0.003122,56647412,-4.00E-05,-4.875076173,-8.38E-05,-10.73030109
155,9/3/2020,0.003122,0.003134,0.00279,0.002802,0.002802,59904548,-0.0001245,-15.09090909,2.25E-06,0.321199143
156,9/4/2020,0.002799,0.002958,0.002753,0.002899,0.002899,53434717,-8.05E-05,-9.996895374,-3.58E-05,-4.932735426
157,9/5/2020,0.0029,0.002934,0.00272,0.002758,0.002758,62295889,-0.0001245,-15.29484029,5.25E-06,0.76142132
158,9/6/2020,0.002758,0.002814,0.002704,0.002787,0.002787,89557154,-8.38E-05,-10.73030109,4.50E-06,0.645855759
159,9/7/2020,0.002787,0.002832,0.002708,0.002811,0.002811,102610335,2.25E-06,0.321199143,-1.25E-06,-0.177872643
160,9/8/2020,0.00282,0.002834,0.0027,0.002756,0.002756,57144396,-3.58E-05,-4.932735426,1.57E-05,2.285921626
161,9/9/2020,0.002758,0.002807,0.002704,0.002779,0.002779,77050464,5.25E-06,0.76142132,-7.50E-07,-0.107952501
162,9/10/2020,0.002792,0.002859,0.002752,0.002805,0.002805,104276032,4.50E-06,0.645855759,-5.00E-07,-0.071301248
163,9/11/2020,0.002805,0.002825,0.002742,0.002806,0.002806,134077501,-1.25E-06,-0.177872643,6.50E-06,0.926585887
164,9/12/2020,0.002802,0.002831,0.002781,0.002819,0.002819,117125272,1.57E-05,2.285921626,1.75E-06,0.248315005
165,9/13/2020,0.002819,0.002824,0.002746,0.002776,0.002776,124253232,-7.50E-07,-0.107952501,9.50E-06,1.368876081
166,9/14/2020,0.002776,0.002843,0.002742,0.002803,0.002803,128520946,-5.00E-07,-0.071301248,2.50E-07,0.035676061
167,9/15/2020,0.002799,0.002878,0.002785,0.002832,0.002832,100194174,6.50E-06,0.926585887,-9.50E-06,-1.34180791
168,9/16/2020,0.002831,0.002859,0.002791,0.002826,0.002826,148555505,1.75E-06,0.248315005,-1.20E-05,-1.6985138
169,9/17/2020,0.002824,0.002859,0.002781,0.002814,0.002814,161305349,9.50E-06,1.368876081,-4.60E-05,-6.538734897
170,9/18/2020,0.002814,0.002825,0.002749,0.002804,0.002804,147868185,2.50E-07,0.035676061,-3.70E-05,-5.278174037
171,9/19/2020,0.002796,0.002814,0.002773,0.002794,0.002794,147046520,-9.50E-06,-1.34180791,-5.75E-05,-8.231925555
